ISO3,Item Code,Item,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
LVA,904,Cheese from skimmed cow milk,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,9478.22,24.78,9062.91,8416.07,1329.77,623.92,6720.0,9880.0
LVA,901,Cheese from whole cow milk,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14800.0,12000.0,9900.0,9400.0,9285.0,11110.0,10585.0,10809.0,10680.0,12824.0,12200.0,15500.0,18500.0,20610.0,21270.0,21870.0,22150.0,26426.0,31000.0,29200.0,31300.0,32610.0,34740.0,38400.0,38600.0,46400.0,47420.0,50510.0,51910.0,52420.0
LVA,885,"Cream, fresh",t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34100.0,17200.0,16700.0,17400.0,17800.0,18700.0,21700.0,19000.0,17000.0,18000.0,18000.0,16700.0,18300.0,19240.0,27900.0,28800.0,25032.0,26600.0,31100.0,32700.0,35800.0,36000.0,36300.0,36800.0,35990.0,42890.0,33792.34,27570.0,27040.0,26950.0
LVA,1043,"Pig fat, rendered",t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9360.0,7020.0,6630.0,10140.0,7410.0,8970.0,10530.0,9750.0,9360.0,10140.0,9828.0,9828.0,9828.0,9828.0,9828.0,9828.0,9828.0,9828.0,9828.0,9828.0,8034.0,8034.0,7170.11,4577.8,5152.18,5200.51,5336.67,5368.98,9012.1,9050.63
LVA,898,Skim milk and whey powder,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10080.0,9000.0,6030.0,6300.0,6300.0,4500.0,4500.0,3150.0,4500.0,3600.0,4500.0,4500.0,2726.0,2100.0,2000.0,4000.0,2000.0,4000.0,3800.0,3800.0,4072.0,7372.0,10663.0,6295.04,4893.97,4544.68,4142.74,5777.05,2539.09,1450.68
LVA,888,Skim milk of cows,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692460.0,395730.0,241200.0,187110.0,207360.0,216900.0,254613.6,210825.0,197235.0,198693.0,202140.0,184230.0,199440.0,187290.0,222930.0,237510.0,184140.0,194670.0,236610.0,220770.0,256410.0,255060.0,282150.0,283885.71,285383.57,273576.43,205208.39,179950.71,179280.0,178078.66
LVA,1225,Tallow,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6400.0,11120.0,10400.0,8000.0,2800.0,1600.0,1200.0,1120.0,800.0,1280.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1268.77,800.0,900.0,1600.0,1500.0,1600.0,1500.0,1500.0
LVA,890,"Whey, condensed",t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,375.0,375.0,250.0,250.0,250.0,250.0,250.0,400.0,375.0,375.0,375.0,375.0,375.0,1500.0,375.0,375.0,375.0,375.0,375.0,375.0,8000.0,7000.0,12600.0,15200.0,13225.39,17440.27,44000.0,40162.5
LVA,900,"Whey, dry",t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2612.96,2614.41,2612.29,2612.17,2618.77,2605.94,2611.82,2638.56,2567.43,2629.47,2718.77,2354.07,2815.56,2986.67,1260.0,4200.0,3500.0,3500.0,5950.0,7700.0,6300.0,3500.0,6000.0,8000.0,8500.0,9700.0,9522.28,18137.88,17100.0,7000.0
LVA,897,Whole milk powder,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.0,634.0,530.0,530.0,530.0,530.0,663.0,730.0,662.0,780.0,1000.0,1470.0,4330.0,4890.0,7270.0,7110.0,5100.0,5200.0,3900.0,4550.0,5304.0,3380.0,6292.48,5069.48,5659.91,6215.05,3616.53,5231.45,4695.86,4664.39
