EXIO3,EXIOBASE product code,ISO3,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
AU,0,AUS,65954649.0,73960433.0,76882078.0,81809251.0,79540630.0,84441382.0,78565771.0,88777199.0,86748785.0,91506505.0,95141877.0,98371127.0,101184134.0,91319685.0,100647070.0,107119295.0,105622804.0,118648687.0,114209002.0,101136487.0,106503450.0,99542094.0,114052301.0,108514583.0,109618531.0,112991818.0,112979368.0,118236247.0,116799658.0,125611474.0,128683722.0,125875941.0,130802509.0,135190619.0,123488078.0,134708156.0,147415034.0,148663178.0,156776037.0,161347097.0,160983185.0,163218048.0,134730207.0,161678462.0,159035587.0,165567114.0,140248207.0,145268454.0,154934967.0,154257120.0,163916121.0,173928052.0,176105755.0,182282347.0,181463688.0,174938959.0,190736783.0,178617549.0,166286027.0,152854904.0,186404295.0
AU,n.a.,AUS,6396.0,5405.0,4414.0,6216.0,23333.0,47657.0,41892.0,77747.0,80090.0,65765.0,43063.0,98107.0,71261.0,70450.0,78108.0,59009.0,67207.0,104774.0,118558.0,197296.0,234503.0,318647.0,229908.0,298647.0,593780.0,584951.0,496934.0,634230.0,641708.0,719185.0,1020714.0,1174317.0,843959.0,750446.0,764500.0,915309.0,1324496.0,1447738.0,1567557.0,1609629.0,1764854.0,1582693.0,840445.0,759274.0,1403054.0,1298550.0,620897.0,288827.0,716212.0,845941.0,1977539.0,2663615.0,2212598.0,1924943.0,1147830.0,1368170.0,1937790.0,2207193.0,1036029.0,261260.0,1306298.0
AU,p01.a,AUS,46146.0,54359.0,54750.0,57096.0,61789.0,73130.0,86426.0,89164.0,104416.0,97767.0,117712.0,96985.0,120840.0,159947.0,151344.0,163076.0,207267.0,191506.0,270679.0,239789.0,297213.0,335147.0,203356.0,247938.0,337884.0,268665.0,214697.0,297604.0,314811.0,361348.0,307772.0,438780.0,373471.0,423137.0,444646.0,371985.0,542805.0,520474.0,543508.0,430450.0,642685.0,466234.0,171332.0,216306.0,132528.0,392107.0,63668.0,6888.0,23804.0,76917.0,282854.0,359288.0,454077.0,320394.0,269991.0,107130.0,315712.0,248373.0,26137.0,19642.0,165414.0
AU,p01.b,AUS,1593206.0,1978226.0,2113586.0,2377059.0,1673697.0,3007574.0,1787288.0,3506076.0,2497664.0,1868575.0,2038165.0,1560715.0,2838890.0,2689687.0,2837706.0,2794603.0,2219184.0,4284268.0,3833816.0,2571034.0,3874551.0,2102008.0,5214066.0,4420690.0,3789055.0,3817475.0,2909939.0,3300236.0,3366429.0,3568116.0,3568116.0,2500317.0,3490572.0,3902734.0,2122240.0,3908655.0,5613362.0,4552834.0,5083524.0,5863219.0,5235854.0,5754829.0,2399551.0,6188830.0,5187804.0,5956374.0,2562894.0,3213646.0,5072956.0,5170965.0,6491549.0,7082425.0,5412903.0,5992537.0,5622968.0,5275290.0,7535657.0,4959504.0,4167643.0,3429361.0,7560242.0
AU,p01.c,AUS,431809.0,499078.0,516324.0,525136.0,458785.0,676713.0,403510.0,720876.0,650909.0,904391.0,1160269.0,781612.0,914750.0,902926.0,1048677.0,1024927.0,881751.0,1284430.0,1254174.0,954809.0,1272095.0,882293.0,1629433.0,1826134.0,1578938.0,1401368.0,1370866.0,1398141.0,1423751.0,1363285.0,1314117.0,1589561.0,1604116.0,1920758.0,1102857.0,1966377.0,2118502.0,1965569.0,2104410.0,1884282.0,2158393.0,2565851.0,1375424.0,3057927.0,2377703.0,2800963.0,1338384.0,2641027.0,2504602.0,2238709.0,2328535.0,2469492.0,2284519.0,2400167.0,2513723.0,2485092.0,3365048.0,2397761.0,2258884.0,2340592.0,3643567.0
AU,p01.d,AUS,1304015.0,1442798.0,1372672.0,1538865.0,1568588.0,1565064.0,1674851.0,1645650.0,1667499.0,1817357.0,1756068.0,1949816.0,1761981.0,1630877.0,1812176.0,1742004.0,1756935.0,1785748.0,1840086.0,2014691.0,1997026.0,2096080.0,2101537.0,2297077.0,2473793.0,2693489.0,2673566.0,2779092.0,2789281.0,2834487.0,3038250.0,3242441.0,3257861.0,3073228.0,3363594.0,3722023.0,3575772.0,3800709.0,4144315.0,4034636.0,4616266.0,4118805.0,4250823.0,4448704.0,5061469.0,4429675.0,4433398.0,4598060.0,5028418.0,5179839.0,5128349.0,5219928.0,5604154.0,5232693.0,5447118.0,6275583.0,7471115.0,6201312.0,5515155.0,5697500.0,7578195.0
AU,p01.e,AUS,24057.0,23450.0,28338.0,43309.0,15898.0,38287.0,42802.0,37023.0,35322.0,71967.0,91399.0,136351.0,106206.0,116636.0,124844.0,95761.0,111084.0,175482.0,212015.0,143321.0,144638.0,133869.0,110577.0,182339.0,273402.0,224727.0,181008.0,201414.0,204494.0,134694.0,176626.0,181195.0,170613.0,264656.0,225272.0,358788.0,431250.0,505211.0,980900.0,1308039.0,926642.0,909382.0,448690.0,889182.0,803770.0,753157.0,303575.0,643875.0,944613.0,964739.0,1160297.0,1688576.0,2024278.0,1839236.0,1708632.0,1340483.0,2064188.0,1863373.0,1134556.0,1106624.0,2281295.0
AU,p01.f,AUS,436740.0,580819.0,552644.0,687288.0,645539.0,760913.0,764170.0,839713.0,708473.0,791979.0,870334.0,849588.0,865284.0,916444.0,985620.0,1047764.0,1054479.0,963088.0,949356.0,1076136.0,1126324.0,1113904.0,1085809.0,1142325.0,1095254.0,1110533.0,1114558.0,1218434.0,1209204.0,1093833.0,959003.0,926462.0,1254927.0,1405424.0,1568400.0,1680297.0,1792598.0,1843138.0,1781871.0,1713004.0,1262016.0,1410467.0,1660503.0,1660434.0,1697631.0,1666478.0,1633662.0,1464183.0,1411926.0,1401960.0,1130274.0,1165072.0,1217990.0,1369770.0,1453323.0,1544163.0,1641046.0,1503938.0,1454948.0,1359259.0,1397412.0
AU,p01.g,AUS,342.0,379.0,300.0,249.0,253.0,304.0,217.0,491.0,217.0,209.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,p01.h,AUS,42557.0,34302.0,39641.0,44057.0,35805.0,40785.0,38394.0,37742.0,49900.0,53223.0,51189.0,45627.0,49153.0,51810.0,46627.0,43343.0,47408.0,45134.0,45242.0,44864.0,44781.0,42393.0,41330.0,46156.0,38153.0,38551.0,41357.0,46713.0,46396.0,41367.0,47808.0,47894.0,48088.0,37243.0,32803.0,34897.0,35460.0,34692.0,31452.0,29228.0,31473.0,29185.0,20456.0,14244.0,15187.0,16358.0,13571.0,17877.0,15051.0,14259.0,14451.0,14247.0,12347.0,10485.0,11934.0,11525.0,11314.0,11231.0,11452.0,11332.0,11338.0
